"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"OSBPL8",-0.797541136935409,7.98668380764346,-5.73834412032643,8.30861385594801e-06,0.0409470969818859,3.54534457595605
"PJA2",-0.623089135667417,9.58482416830933,-5.64472637778813,1.03963478152047e-05,0.0409470969818859,3.35132703607054
"EIF1AX",-0.651839723392448,6.98823721474421,-5.62395050806975,1.09278599001732e-05,0.0409470969818859,3.30811731380317
"SLCO5A1",0.312914901048703,4.41086571233332,5.55317660846738,1.29548673517e-05,0.0409470969818859,3.16051544758908
"NPEPPS",-0.529019159591505,7.22226195918127,-5.41533103384564,1.806854904044e-05,0.0456881331036567,2.87129380890831
"PLEKHB2",-0.689327917339698,8.88085550670322,-5.30178470717054,2.37938285187389e-05,0.0501375623270693,2.63142418037467
"HSP90AA1",-0.436734496759018,11.4078722685525,-5.11805354848567,3.7221510672789e-05,0.0536595944348224,2.24043533912424
"MORF4L1",-0.383224924140944,11.4161923358274,-5.10726576874499,3.82151571541176e-05,0.0536595944348224,2.21737685147185
"PPP1R12A",-0.582555078608343,6.26067330583643,-5.10100491382732,3.88040892457131e-05,0.0536595944348224,2.20398961609111
"TGM2",0.286985442307713,6.37109960566973,5.04247641176109,4.47733501127068e-05,0.0536595944348224,2.07867178669052
"CDH12",-0.842209613396162,6.10257633569961,-4.9402710011198,5.75103723155427e-05,0.0536595944348224,1.85913966972617
"ARMCX3",-0.720149185921408,7.29927685126411,-4.89873261767247,6.36802953914104e-05,0.0536595944348224,1.76968219834349
"CALM2",-0.280556984049035,12.6774147379399,-4.88973813449854,6.51018888041516e-05,0.0536595944348224,1.75029475696822
"SCN1A",-1.0236530808881,6.49786517403316,-4.87741049304654,6.71024185617751e-05,0.0536595944348224,1.72371327984563
"NAP1L1",-0.41012626741475,8.84133983627175,-4.85590647687913,7.07415757138277e-05,0.0536595944348224,1.67731951763433
"USP33",-0.397890531895673,6.97102779452803,-4.84305056681322,7.30115365636815e-05,0.0536595944348224,1.64956829280135
"PRKACB",-0.61203115402041,10.3452091925702,-4.82847543810616,7.56739624270047e-05,0.0536595944348224,1.61809238317514
"ARL6IP5",-0.523729210928388,9.43781998563176,-4.82461253476089,7.6395847490849e-05,0.0536595944348224,1.60974782824109
"MTDH",-0.509197192429579,7.11020315735785,-4.7708834603201,8.71863556163653e-05,0.0559704853486532,1.49358421261309
"KCNJ3",-0.49841293893645,5.10873729895894,-4.75778776802611,9.00412172449448e-05,0.0559704853486532,1.4652439582845
"SCGB1A1",0.25734022232074,4.92120373684423,4.73497282394864,9.52414306590856e-05,0.0559704853486532,1.41584632116723
"AKAP11",-0.313666305288134,7.43511795792499,-4.7088199101782,0.000101575259910039,0.0559704853486532,1.35918530227501
"ARAP3",0.253699523220692,6.4307324866505,4.69245796455606,0.000105751560411592,0.0559704853486532,1.32371783565057
"KRAS",-0.580188810707164,6.94886317398091,-4.69055690823493,0.000106247856392286,0.0559704853486532,1.31959604007996
"FOXL1",0.435899053078678,5.33958523642345,4.67012877058789,0.00011173093349254,0.0559884274813792,1.27529287667006
"RTN4",-0.519585525335532,11.3681061431348,-4.65793403802543,0.000115138741953323,0.0559884274813792,1.24883583146522
"CDK17",-0.416798770184613,7.45744800145908,-4.622503861668,0.000125643801626546,0.0588338734801637,1.17192839255997
"TOMM70",-0.455881993783722,8.07942393668866,-4.5900385675242,0.000136112990748116,0.0614598765010154,1.10140781537146
"SH3BP5",-0.567581399705897,8.51930793428287,-4.567272247534,0.000143972696053981,0.0627671309038096,1.05192945651103
"UBE3A",-0.309739444653965,6.97908703546397,-4.54350004505712,0.000152666120656991,0.0632518204378356,1.00024406272971
"TRIP10",0.429856232841066,6.27380093537874,4.53157496814003,0.000157223456237203,0.0632518204378356,0.974309061636096
"SEC61A1",0.291448646781901,7.47225973827099,4.50174377148106,0.000169230284683513,0.0632518204378356,0.909410821322767
"CEP68",-0.479755593779118,7.29734806574319,-4.50050267382787,0.000169749263975714,0.0632518204378356,0.906710192906512
"PCYOX1",-0.727728929073314,4.44764813035474,-4.49768974111419,0.000170931436124954,0.0632518204378356,0.900589081716902
"ADIRF",0.66993299026091,7.25891427571623,4.48791959449052,0.000175101931133769,0.0632518204378356,0.879326858216942
"RAX",0.440982731683362,6.55996281172045,4.43335984971041,0.000200336981065684,0.0689730201237549,0.760545181220618
"OSBPL1A",-0.387790741569691,9.38849567015127,-4.42506230674717,0.000204481608378566,0.0689730201237549,0.742474560898523
"SMIM10L1",-0.534278782807857,7.15462444046864,-4.40489447618727,0.000214916765157589,0.0689730201237549,0.698546809426938
"B4GALT6",-0.6366459990467,5.83075187050754,-4.4017065051688,0.000216614361547881,0.0689730201237549,0.691602371430977
"MAT2B",-0.44680070106471,9.60493072808898,-4.32921873128064,0.000259048884387096,0.0689730201237549,0.533661376447253
"SACS",-0.76580111556332,7.40609392492423,-4.31603739363957,0.00026761415718093,0.0689730201237549,0.504935240477493
"PRKAR1A",-0.598586107452123,9.38588418595933,-4.30801835740717,0.000272962757439089,0.0689730201237549,0.48745881499377
"ATF2",-0.348829915837359,6.04989734420879,-4.29917865604757,0.000278982520104678,0.0689730201237549,0.468193513604064
"ZNF219",0.260919808463728,6.42987283226333,4.29121900098886,0.000284516317359921,0.0689730201237549,0.450845957871343
"CLASP2",-0.500153047825103,8.70897084497413,-4.2902269948995,0.000285213626903189,0.0689730201237549,0.448683932676802
"SLC26A10P",0.313800751522426,5.82772431200471,4.2866618088961,0.000287733812980113,0.0689730201237549,0.440913780111953
"TGOLN2",-0.303209981344221,7.16001882829161,-4.27600710679236,0.000295398753270594,0.0689730201237549,0.41769226288292
"SERINC1",-0.513975573042768,9.97000850063114,-4.27506177730852,0.000296088583505186,0.0689730201237549,0.415631949738774
"MT1HL1",0.660576595083365,10.6658932620098,4.25741395674001,0.000309265864334675,0.0689730201237549,0.37716925066341
"EPS15",-0.508993528931602,9.16695139994778,-4.2568668940862,0.000309683564658867,0.0689730201237549,0.375976958253275
"BNIP3L",-0.429628880180805,8.6339699176698,-4.24486938915036,0.00031898691072397,0.0689730201237549,0.349829299482414
"ACSF2",0.380025814946336,5.23549065029103,4.23936549027208,0.000323347637079716,0.0689730201237549,0.337834155773777
"LAS1L",0.34724640210412,6.85209928198526,4.23922019326064,0.000323463557561594,0.0689730201237549,0.337517498841831
"CBX3",-0.373233397383164,7.04321957249116,-4.23910063147034,0.00032355897712271,0.0689730201237549,0.337256928733195
"RNF11",-0.622189475593575,9.52248270361292,-4.23884050785246,0.000323766672894555,0.0689730201237549,0.336690021787525
"ATP6V1A",-1.05268458906603,8.87277255208552,-4.22149038740665,0.000337924306269272,0.0689730201237549,0.298878507951394
"NRXN1",-0.565431353791218,8.21757544724488,-4.21874651196046,0.00034021914740412,0.0689730201237549,0.292898908383488
"THUMPD1",-0.522201910806215,6.13228998287597,-4.2177354728673,0.000341068641930633,0.0689730201237549,0.290695613209726
"IL4R",0.372825817170141,6.2870860683319,4.21659401104694,0.00034203026181695,0.0689730201237549,0.288208105883136
"TAX1BP1",-0.363027787285998,8.02690818433051,-4.20841967002476,0.000348996140143005,0.0689730201237549,0.270394671278179
"SCAMP1",-0.366126383680935,6.6395565749795,-4.20662450429863,0.000350544753923522,0.0689730201237549,0.266482748373416
"PEG3",-0.995800036725842,8.79913524878493,-4.20616714156053,0.000350940395073617,0.0689730201237549,0.265486094563209
"ATP5PF",-0.362412457318248,9.83956553003986,-4.20222234610734,0.000354371362906273,0.0689730201237549,0.256889951523646
"CTRL",0.340820142311154,5.33265492994263,4.201861883734,0.00035468653545418,0.0689730201237549,0.256104472355622
"HEMK1",0.22281491127359,5.82131906677653,4.19483238787951,0.000360888967987034,0.0689730201237549,0.240786865075258
"OAT",-0.420096947968,10.0437200960886,-4.19118174080843,0.000364152615044464,0.0689730201237549,0.232832152621235
"NLGN1",-0.384904677983412,5.77787323081044,-4.17637690245885,0.000377692211791878,0.0689730201237549,0.200574329927513
"FBXO9",-0.411749312165202,8.38472463922137,-4.17437249170964,0.000379563460110325,0.0689730201237549,0.196207208989675
"USO1",-0.342802693074018,7.24970209306722,-4.16986262524749,0.000383807546044076,0.0689730201237549,0.186381528919214
